# BehaviorSync export | Video: 30.0000 fps | Behavior Fs: 5 Hz
Frame (sample) onset,Frame (sample) offset,Onset (seconds),Offset (seconds),Duration (seconds)
133,197,4.39999972025555,6.53333291795521,2.13333319769966
337,360,11.1999992879232,11.9666659058465,0.766666617923315
459,472,15.2666656960382,15.6999990018209,0.433333305782742
575,599,19.1333321168688,19.9333320660062,0.799999949137373
835,850,27.7999982325237,28.2999982007346,0.499999968210858
925,986,30.7999980417889,32.8333312458464,2.03333320405749
1127,1144,37.5333309470284,38.0999975776674,0.56666663063897
1480,1496,49.2999968655906,49.8333301650155,0.53333329942491
1594,1618,53.0999966239931,53.8999965731305,0.799999949137373
1688,1771,56.2333297581145,58.9999962488813,2.76666649076675
1855,1903,61.7999960708621,63.3999959691368,1.59999989827475
1921,1996,63.9999959309898,66.4999957720441,2.49999984105429
6626,6659,220.833319293129,221.933319223193,1.09999993006389
6757,6760,225.199985682171,225.299985675813,0.0999999936421716
6770,6776,225.633318987953,225.833318975238,0.199999987284343
6866,6875,228.833318784503,229.133318765429,0.299999980926515
6944,6952,231.433318619199,231.699985268912,0.266666649712448
7526,7553,250.833317385781,251.73331732856,0.899999942779544
7580,7585,252.63331727134,252.79998392741,0.166666656070277
7616,7673,253.833317195046,255.733317074247,1.89999987920126
7697,7742,256.533317023384,258.033316928017,1.4999999046326
14100,14106,469.966636786993,470.166636774277,0.199999987284343
14126,14174,470.833303398558,472.433303296833,1.59999989827475
